 time            v(nodeA)        time            v(nodeB)       
 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 
 1.00000000e-08  3.14159265e-04  1.00000000e-08  1.57079633e-04 
 2.00000000e-08  6.28318529e-04  2.00000000e-08  3.14159265e-04 
 4.00000000e-08  1.25663705e-03  4.00000000e-08  6.28318524e-04 
 8.00000000e-08  2.51327402e-03  8.00000000e-08  1.25663701e-03 
 1.60000000e-07  5.02654740e-03  1.60000000e-07  2.51327370e-03 
 3.20000000e-07  1.00530897e-02  3.20000000e-07  5.02654486e-03 
 6.40000000e-07  2.01061388e-02  6.40000000e-07  1.00530694e-02 
 1.28000000e-06  4.02119525e-02  1.28000000e-06  2.01059762e-02 
 2.28000000e-06  7.16258625e-02  2.28000000e-06  3.58129313e-02 
 3.28000000e-06  1.03036945e-01  3.28000000e-06  5.15184725e-02 
 4.28000000e-06  1.34443960e-01  4.28000000e-06  6.72219798e-02 
 5.28000000e-06  1.65845667e-01  5.28000000e-06  8.29228334e-02 
 6.28000000e-06  1.97240826e-01  6.28000000e-06  9.86204132e-02 
 7.28000000e-06  2.28628200e-01  7.28000000e-06  1.14314100e-01 
 8.28000000e-06  2.60006547e-01  8.28000000e-06  1.30003273e-01 
 9.28000000e-06  2.91374629e-01  9.28000000e-06  1.45687315e-01 
 1.02800000e-05  3.22731209e-01  1.02800000e-05  1.61365604e-01 
 1.12800000e-05  3.54075048e-01  1.12800000e-05  1.77037524e-01 
 1.22800000e-05  3.85404908e-01  1.22800000e-05  1.92702454e-01 
 1.32800000e-05  4.16719553e-01  1.32800000e-05  2.08359777e-01 
 1.42800000e-05  4.48017747e-01  1.42800000e-05  2.24008874e-01 
 1.52800000e-05  4.79298254e-01  1.52800000e-05  2.39649127e-01 
 1.62800000e-05  5.10559839e-01  1.62800000e-05  2.55279920e-01 
 1.72800000e-05  5.41801268e-01  1.72800000e-05  2.70900634e-01 
 1.82800000e-05  5.73021308e-01  1.82800000e-05  2.86510654e-01 
 1.92800000e-05  6.04218726e-01  1.92800000e-05  3.02109363e-01 
 2.02800000e-05  6.35392290e-01  2.02800000e-05  3.17696145e-01 
 2.12800000e-05  6.66540770e-01  2.12800000e-05  3.33270385e-01 
 2.22800000e-05  6.97662936e-01  2.22800000e-05  3.48831468e-01 
 2.32800000e-05  7.28757560e-01  2.32800000e-05  3.64378780e-01 
 2.42800000e-05  7.59823414e-01  2.42800000e-05  3.79911707e-01 
 2.52800000e-05  7.90859271e-01  2.52800000e-05  3.95429635e-01 
 2.62800000e-05  8.21863906e-01  2.62800000e-05  4.10931953e-01 
 2.72800000e-05  8.52836095e-01  2.72800000e-05  4.26418048e-01 
 2.82800000e-05  8.83774616e-01  2.82800000e-05  4.41887308e-01 
 2.92800000e-05  9.14678247e-01  2.92800000e-05  4.57339124e-01 
 3.02800000e-05  9.45545769e-01  3.02800000e-05  4.72772884e-01 
 3.12800000e-05  9.76375961e-01  3.12800000e-05  4.88187981e-01 
 3.22800000e-05  1.00716761e+00  3.22800000e-05  5.03583804e-01 
 3.32800000e-05  1.03791949e+00  3.32800000e-05  5.18959747e-01 
 3.42800000e-05  1.06863040e+00  3.42800000e-05  5.34315202e-01 
 3.52800000e-05  1.09929913e+00  3.52800000e-05  5.49649563e-01 
 3.62800000e-05  1.12992445e+00  3.62800000e-05  5.64962226e-01 
 3.72800000e-05  1.16050517e+00  3.72800000e-05  5.80252584e-01 
 3.82800000e-05  1.19104007e+00  3.82800000e-05  5.95520035e-01 
 3.92800000e-05  1.22152795e+00  3.92800000e-05  6.10763976e-01 
 4.02800000e-05  1.25196761e+00  4.02800000e-05  6.25983805e-01 
 4.12800000e-05  1.28235784e+00  4.12800000e-05  6.41178921e-01 
 4.22800000e-05  1.31269745e+00  4.22800000e-05  6.56348725e-01 
 4.32800000e-05  1.34298523e+00  4.32800000e-05  6.71492617e-01 
 4.42800000e-05  1.37322000e+00  4.42800000e-05  6.86609999e-01 
 4.52800000e-05  1.40340055e+00  4.52800000e-05  7.01700276e-01 
 4.62800000e-05  1.43352570e+00  4.62800000e-05  7.16762850e-01 
 4.72800000e-05  1.46359426e+00  4.72800000e-05  7.31797128e-01 
 4.82800000e-05  1.49360503e+00  4.82800000e-05  7.46802516e-01 
 4.92800000e-05  1.52355684e+00  4.92800000e-05  7.61778422e-01 
 5.02800000e-05  1.55344851e+00  5.02800000e-05  7.76724253e-01 
 5.12800000e-05  1.58327884e+00  5.12800000e-05  7.91639421e-01 
 5.22800000e-05  1.61304667e+00  5.22800000e-05  8.06523337e-01 
 5.32800000e-05  1.64275082e+00  5.32800000e-05  8.21375412e-01 
 5.42800000e-05  1.67239012e+00  5.42800000e-05  8.36195061e-01 
 5.52800000e-05  1.70196340e+00  5.52800000e-05  8.50981698e-01 
 5.62800000e-05  1.73146948e+00  5.62800000e-05  8.65734740e-01 
 5.72800000e-05  1.76090721e+00  5.72800000e-05  8.80453604e-01 
 5.82800000e-05  1.79027542e+00  5.82800000e-05  8.95137709e-01 
 5.92800000e-05  1.81957295e+00  5.92800000e-05  9.09786476e-01 
 6.02800000e-05  1.84879865e+00  6.02800000e-05  9.24399326e-01 
 6.12800000e-05  1.87795136e+00  6.12800000e-05  9.38975682e-01 
 6.22800000e-05  1.90702994e+00  6.22800000e-05  9.53514969e-01 
 6.32800000e-05  1.93603323e+00  6.32800000e-05  9.68016613e-01 
 6.42800000e-05  1.96496008e+00  6.42800000e-05  9.82480042e-01 
 6.52800000e-05  1.99380937e+00  6.52800000e-05  9.96904684e-01 
 6.62800000e-05  2.02257994e+00  6.62800000e-05  1.01128997e+00 
